Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,0.9099999999999999,symmetric,0.33928523804339394
100% Corpus,7,symmetric,0.01,0.3319734123417974
100% Corpus,7,symmetric,0.31,0.33708946737401
100% Corpus,7,symmetric,0.61,0.3389418871304263
100% Corpus,7,symmetric,0.9099999999999999,0.3309155945597356
100% Corpus,7,symmetric,symmetric,0.33402760289473454
100% Corpus,7,asymmetric,0.01,0.3315664191071271
100% Corpus,7,asymmetric,0.31,0.33205949639100724
100% Corpus,7,asymmetric,0.61,0.3407253169564342
100% Corpus,7,asymmetric,0.9099999999999999,0.33458962979025875
100% Corpus,7,asymmetric,symmetric,0.3316897064965261
100% Corpus,8,0.01,0.01,0.33271372377977954
100% Corpus,8,0.01,0.31,0.335500226641798
100% Corpus,8,0.01,0.61,0.3428449456980237
100% Corpus,8,0.01,0.9099999999999999,0.34618621481451417
100% Corpus,8,0.01,symmetric,0.33271372377977954
100% Corpus,8,0.31,0.01,0.34063704007593254
100% Corpus,8,0.31,0.31,0.3328658742621382
100% Corpus,8,0.31,0.61,0.32778272082993776
100% Corpus,8,0.31,0.9099999999999999,0.3404345021808494
100% Corpus,8,0.31,symmetric,0.3400451194418839
100% Corpus,8,0.61,0.01,0.33830434484291755
100% Corpus,8,0.61,0.31,0.3381986054429187
100% Corpus,8,0.61,0.61,0.3371728727063203
100% Corpus,8,0.61,0.9099999999999999,0.3447097531013754
100% Corpus,8,0.61,symmetric,0.3413967073548635
100% Corpus,8,0.9099999999999999,0.01,0.3407270671769034
100% Corpus,8,0.9099999999999999,0.31,0.34021669609278465
100% Corpus,8,0.9099999999999999,0.61,0.33690541288038134
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3383563979426703
100% Corpus,8,0.9099999999999999,symmetric,0.33880516655349957
100% Corpus,8,symmetric,0.01,0.3365857115742738
100% Corpus,8,symmetric,0.31,0.33986767002131996
100% Corpus,8,symmetric,0.61,0.3405104276294022
100% Corpus,8,symmetric,0.9099999999999999,0.3464605729246341
100% Corpus,8,symmetric,symmetric,0.33917728384791324
100% Corpus,8,asymmetric,0.01,0.3296552409784047
100% Corpus,8,asymmetric,0.31,0.32927527612609053
100% Corpus,8,asymmetric,0.61,0.3361388624322675
100% Corpus,8,asymmetric,0.9099999999999999,0.339186157183422
100% Corpus,8,asymmetric,symmetric,0.3343505942303922
100% Corpus,9,0.01,0.01,0.33175363587678336
100% Corpus,9,0.01,0.31,0.3379484476686997
100% Corpus,9,0.01,0.61,0.34539216544171253
100% Corpus,9,0.01,0.9099999999999999,0.3499865699688622
100% Corpus,9,0.01,symmetric,0.3320901728064561
